study_hours,attendance,prev_grade,sleep_hours,extracurricular,gender,final_grade,pass_fail
3.5,92.0,30.0,7.0,0,0,30.0,0
3.5,94.7,25.0,7.0,0,0,30.0,0
3.5,86.7,40.0,7.0,0,0,50.0,1
7.5,97.3,70.0,6.0,1,0,75.0,1
3.5,94.7,50.0,7.0,0,0,50.0,1
3.5,86.7,75.0,8.0,1,1,75.0,1
3.5,100.0,60.0,8.0,0,1,55.0,1
3.5,92.0,25.0,5.0,0,0,30.0,0
3.5,100.0,90.0,6.0,0,1,95.0,1
3.5,100.0,75.0,9.0,1,1,75.0,1
3.5,100.0,40.0,7.0,0,0,45.0,0
7.5,94.7,60.0,6.0,1,0,60.0,1
1.5,97.3,70.0,7.0,1,1,70.0,1
3.5,97.3,50.0,8.0,0,1,55.0,1
7.5,100.0,80.0,9.0,0,1,80.0,1
1.5,94.7,70.0,8.0,0,0,70.0,1
7.5,92.0,70.0,6.0,1,0,70.0,1
3.5,94.7,50.0,7.0,1,0,50.0,1
1.5,78.7,25.0,9.0,1,1,25.0,0
1.5,94.7,50.0,5.0,1,1,50.0,1
3.5,100.0,70.0,8.0,0,1,75.0,1
1.5,100.0,75.0,8.0,0,1,75.0,1
3.5,97.3,75.0,9.0,1,1,80.0,1
3.5,100.0,65.0,8.0,1,1,60.0,1
7.5,97.3,45.0,7.0,1,0,40.0,0
1.5,81.3,45.0,6.0,0,0,40.0,0
1.5,97.3,60.0,6.0,0,1,55.0,1
1.5,94.7,80.0,6.0,0,1,75.0,1
3.5,94.7,55.0,7.0,1,1,55.0,1
3.5,78.7,60.0,8.0,1,1,55.0,1
3.5,100.0,55.0,8.0,0,1,60.0,1
3.5,100.0,80.0,7.0,1,1,85.0,1
3.5,100.0,80.0,9.0,1,1,80.0,1
3.5,100.0,50.0,7.0,1,1,60.0,1
1.5,100.0,70.0,8.0,0,1,75.0,1
1.5,100.0,35.0,9.0,1,0,30.0,0
7.5,97.3,80.0,8.0,1,1,90.0,1
7.5,90.7,80.0,8.0,1,1,75.0,1
7.5,97.3,60.0,7.0,1,0,55.0,1
1.5,89.3,65.0,7.0,1,0,65.0,1
3.5,66.7,50.0,7.0,1,0,55.0,1
1.5,89.3,60.0,8.0,0,1,60.0,1
3.5,97.3,90.0,7.0,1,1,90.0,1
1.5,100.0,40.0,8.0,0,1,55.0,1
3.5,81.3,50.0,7.0,1,0,45.0,0
3.5,89.3,40.0,6.0,1,0,30.0,0
3.5,84.0,60.0,7.0,0,0,55.0,1
12.0,94.7,95.0,6.0,1,1,100.0,1
3.5,97.3,75.0,7.0,0,1,70.0,1
3.5,97.3,35.0,8.0,1,0,35.0,0
3.5,97.3,65.0,7.0,0,0,65.0,1
3.5,97.3,65.0,7.0,0,0,65.0,1
1.5,92.0,55.0,9.0,0,1,50.0,1
1.5,100.0,50.0,7.0,0,0,55.0,1
1.5,92.0,65.0,7.0,0,0,65.0,1
3.5,89.3,45.0,7.0,1,0,50.0,1
3.5,100.0,75.0,7.0,1,0,75.0,1
3.5,94.7,75.0,6.0,1,1,75.0,1
3.5,97.3,50.0,7.0,1,1,45.0,0
3.5,97.3,80.0,6.0,0,0,80.0,1
3.5,92.0,55.0,8.0,1,0,55.0,1
1.5,92.0,40.0,9.0,1,0,55.0,1
3.5,94.7,50.0,8.0,1,0,45.0,0
7.5,97.3,45.0,8.0,1,0,45.0,0
3.5,100.0,50.0,8.0,1,0,50.0,1
3.5,97.3,75.0,8.0,1,0,75.0,1
12.0,94.7,65.0,7.0,1,1,60.0,1
12.0,94.7,35.0,7.0,0,0,30.0,0
3.5,97.3,45.0,5.0,0,0,40.0,0
12.0,84.0,80.0,8.0,0,0,80.0,1
12.0,100.0,75.0,7.0,0,1,75.0,1
12.0,100.0,50.0,7.0,0,1,50.0,1
3.5,97.3,30.0,7.0,0,0,25.0,0
1.5,97.3,60.0,7.0,1,1,70.0,1
3.5,28.0,60.0,7.0,1,0,55.0,1
3.5,92.0,45.0,7.0,1,1,50.0,1
12.0,89.3,55.0,8.0,1,1,50.0,1
12.0,100.0,55.0,6.0,0,0,55.0,1
1.5,97.3,40.0,9.0,1,1,50.0,1
3.5,84.0,25.0,8.0,0,0,25.0,0
1.5,97.3,60.0,6.0,1,1,60.0,1
7.5,94.7,50.0,7.0,0,1,55.0,1
3.5,86.7,30.0,8.0,0,0,30.0,0
3.5,94.7,75.0,7.0,1,1,75.0,1
3.5,97.3,50.0,7.0,1,0,50.0,1
3.5,92.0,45.0,8.0,0,0,40.0,0
3.5,94.7,35.0,7.0,0,0,30.0,0
7.5,94.7,70.0,7.0,1,0,70.0,1
3.5,84.0,50.0,8.0,1,1,50.0,1
3.5,76.0,30.0,5.0,0,1,35.0,0
7.5,100.0,35.0,7.0,0,0,40.0,0
1.5,94.7,85.0,9.0,1,0,90.0,1
3.5,94.7,30.0,7.0,0,0,30.0,0
3.5,100.0,50.0,7.0,1,0,50.0,1
12.0,92.0,65.0,7.0,1,1,70.0,1
12.0,97.3,50.0,5.0,1,0,50.0,1
1.5,97.3,75.0,7.0,1,1,75.0,1
3.5,97.3,45.0,7.0,0,0,50.0,1
1.5,92.0,70.0,7.0,1,0,70.0,1
7.5,100.0,45.0,7.0,0,0,40.0,0
1.5,81.3,35.0,9.0,1,1,25.0,0
7.5,100.0,85.0,8.0,1,1,85.0,1
1.5,94.7,65.0,7.0,1,1,70.0,1
3.5,65.3,30.0,7.0,0,0,30.0,0
3.5,100.0,90.0,8.0,1,1,90.0,1
12.0,86.7,55.0,7.0,0,0,55.0,1
12.0,89.3,40.0,5.0,0,0,40.0,0
7.5,97.3,90.0,7.0,1,1,90.0,1
12.0,92.0,65.0,7.0,1,1,65.0,1
7.5,94.7,75.0,8.0,1,0,80.0,1
1.5,92.0,95.0,9.0,1,1,95.0,1
7.5,100.0,50.0,5.0,1,0,50.0,1
3.5,92.0,65.0,5.0,1,0,65.0,1
1.5,86.7,95.0,9.0,0,1,95.0,1
3.5,89.3,45.0,8.0,1,1,45.0,0
3.5,97.3,75.0,8.0,1,1,80.0,1
3.5,97.3,65.0,8.0,1,1,70.0,1
1.5,100.0,70.0,8.0,1,1,65.0,1
3.5,73.3,35.0,6.0,1,1,40.0,0
1.5,92.0,65.0,8.0,0,1,65.0,1
3.5,97.3,75.0,6.0,0,0,75.0,1
12.0,92.0,70.0,9.0,1,1,75.0,1
3.5,97.3,65.0,6.0,1,0,65.0,1
1.5,76.0,55.0,8.0,1,1,65.0,1
3.5,100.0,35.0,8.0,0,0,40.0,0
1.5,100.0,65.0,9.0,0,1,60.0,1
3.5,100.0,50.0,7.0,1,0,55.0,1
3.5,97.3,40.0,8.0,0,0,45.0,0
1.5,100.0,20.0,7.0,1,1,0.0,0
1.5,89.3,90.0,9.0,1,1,90.0,1
7.5,100.0,0.0,6.0,0,0,0.0,0
1.5,100.0,0.0,7.0,1,0,0.0,0
1.5,84.0,65.0,8.0,0,0,60.0,1
1.5,78.7,55.0,6.0,0,0,55.0,1
3.5,100.0,0.0,7.0,0,1,0.0,0
7.5,100.0,0.0,7.0,1,0,0.0,0
3.5,100.0,0.0,8.0,0,1,0.0,0
1.5,100.0,0.0,7.0,1,0,0.0,0
3.5,100.0,60.0,8.0,0,1,60.0,1
1.5,100.0,80.0,7.0,1,0,75.0,1
12.0,100.0,45.0,6.0,0,1,0.0,0
1.5,89.3,45.0,7.0,1,1,45.0,0
7.5,97.3,55.0,6.0,1,0,55.0,1
1.5,97.3,70.0,8.0,0,0,65.0,1
1.5,100.0,0.0,8.0,0,1,0.0,0
3.5,100.0,55.0,8.0,0,0,55.0,1
3.5,100.0,35.0,7.0,0,0,0.0,0
3.5,97.3,55.0,7.0,0,0,55.0,1
1.5,100.0,30.0,7.0,0,1,0.0,0
1.5,100.0,45.0,9.0,0,1,50.0,1
1.5,100.0,25.0,7.0,0,1,0.0,0
1.5,92.0,65.0,8.0,1,1,70.0,1
7.5,89.3,50.0,6.0,1,0,50.0,1
1.5,100.0,0.0,9.0,0,1,0.0,0
1.5,100.0,55.0,6.0,0,0,60.0,1
3.5,97.3,40.0,8.0,1,1,40.0,0
1.5,89.3,60.0,6.0,0,1,65.0,1
1.5,92.0,40.0,6.0,1,0,50.0,1
1.5,97.3,75.0,6.0,0,1,75.0,1
3.5,94.7,60.0,9.0,0,1,60.0,1
1.5,100.0,30.0,7.0,1,1,0.0,0
3.5,92.0,45.0,8.0,0,1,35.0,0
1.5,100.0,0.0,8.0,1,1,0.0,0
1.5,97.3,50.0,7.0,0,1,50.0,1
3.5,100.0,40.0,7.0,1,1,35.0,0
1.5,78.7,55.0,9.0,1,1,60.0,1
3.5,94.7,50.0,7.0,0,1,50.0,1
3.5,100.0,75.0,6.0,0,0,80.0,1
3.5,100.0,35.0,5.0,0,0,0.0,0
3.5,100.0,70.0,8.0,0,0,70.0,1
1.5,100.0,25.0,8.0,1,1,0.0,0
3.5,97.3,75.0,7.0,1,1,80.0,1
3.5,100.0,55.0,8.0,1,1,50.0,1
3.5,100.0,35.0,7.0,1,0,0.0,0
3.5,94.7,55.0,8.0,1,0,45.0,0
3.5,94.7,45.0,8.0,1,1,45.0,0
3.5,97.3,65.0,8.0,1,0,55.0,1
3.5,94.7,25.0,7.0,1,1,30.0,0
1.5,86.7,40.0,7.0,1,1,45.0,0
3.5,94.7,50.0,6.0,1,1,55.0,1
3.5,86.7,40.0,8.0,1,1,40.0,0
3.5,97.3,65.0,6.0,1,1,60.0,1
3.5,100.0,85.0,8.0,1,0,85.0,1
3.5,25.3,45.0,7.0,1,0,40.0,0
3.5,81.3,65.0,6.0,0,0,60.0,1
3.5,84.0,60.0,7.0,1,1,55.0,1
1.5,97.3,60.0,7.0,1,1,55.0,1
3.5,100.0,75.0,6.0,1,1,75.0,1
3.5,92.0,35.0,7.0,0,0,45.0,0
3.5,94.7,45.0,5.0,0,1,50.0,1
3.5,86.7,60.0,7.0,0,0,65.0,1
3.5,100.0,40.0,7.0,1,0,45.0,0
3.5,84.0,40.0,8.0,1,1,40.0,0
1.5,89.3,45.0,7.0,1,1,50.0,1
1.5,100.0,70.0,7.0,0,1,70.0,1
3.5,100.0,75.0,7.0,1,0,75.0,1
1.5,94.7,75.0,6.0,0,1,80.0,1
1.5,89.3,45.0,7.0,1,1,50.0,1
1.5,68.0,90.0,6.0,0,0,90.0,1
3.5,100.0,45.0,9.0,0,0,50.0,1
3.5,97.3,80.0,7.0,1,0,80.0,1
3.5,92.0,50.0,8.0,1,0,50.0,1
3.5,94.7,45.0,8.0,0,0,50.0,1
1.5,76.0,30.0,7.0,0,0,30.0,0
12.0,92.0,50.0,7.0,1,0,55.0,1
7.5,62.7,45.0,8.0,0,0,45.0,0
3.5,93.3,35.0,7.0,0,0,35.0,0
3.5,86.7,60.0,7.0,1,0,65.0,1
1.5,92.0,45.0,7.0,0,0,50.0,1
7.5,92.0,35.0,8.0,1,0,35.0,0
12.0,86.7,40.0,7.0,1,0,40.0,0
3.5,82.7,60.0,7.0,0,1,65.0,1
3.5,100.0,65.0,7.0,0,0,70.0,1
3.5,80.0,35.0,8.0,1,1,40.0,0
1.5,84.0,50.0,6.0,0,0,50.0,1
3.5,97.3,75.0,8.0,0,0,75.0,1
3.5,70.7,30.0,8.0,0,0,20.0,0
3.5,82.7,30.0,6.0,0,1,40.0,0
1.5,96.0,35.0,7.0,0,0,40.0,0
7.5,94.7,50.0,7.0,1,0,50.0,1
3.5,97.3,30.0,6.0,1,0,30.0,0
7.5,100.0,25.0,7.0,1,0,0.0,0
3.5,97.3,80.0,7.0,0,0,85.0,1
3.5,100.0,65.0,7.0,0,1,65.0,1
7.5,100.0,65.0,7.0,1,0,70.0,1
3.5,78.7,40.0,7.0,1,0,35.0,0
3.5,86.7,75.0,7.0,1,0,75.0,1
3.5,97.3,55.0,7.0,0,1,60.0,1
3.5,81.3,40.0,7.0,1,1,45.0,0
7.5,86.7,50.0,6.0,1,0,60.0,1
3.5,81.3,65.0,6.0,1,0,70.0,1
3.5,94.7,55.0,9.0,1,1,55.0,1
3.5,81.3,45.0,9.0,1,1,45.0,0
3.5,97.3,65.0,6.0,1,1,65.0,1
3.5,76.0,35.0,8.0,0,1,30.0,0
7.5,86.7,45.0,7.0,1,1,50.0,1
3.5,94.7,65.0,8.0,1,1,65.0,1
1.5,73.3,60.0,9.0,0,0,60.0,1
3.5,97.3,55.0,5.0,1,0,55.0,1
3.5,100.0,35.0,9.0,0,1,0.0,0
3.5,81.3,60.0,9.0,1,1,60.0,1
3.5,97.3,55.0,7.0,0,1,60.0,1
1.5,100.0,0.0,8.0,1,1,0.0,0
1.5,100.0,60.0,7.0,1,1,60.0,1
7.5,100.0,0.0,8.0,0,0,0.0,0
1.5,92.0,90.0,7.0,0,1,90.0,1
1.5,94.7,60.0,6.0,0,1,65.0,1
1.5,78.7,40.0,8.0,0,1,40.0,0
3.5,89.3,25.0,7.0,0,1,25.0,0
1.5,100.0,75.0,7.0,0,1,75.0,1
1.5,100.0,40.0,8.0,0,1,40.0,0
3.5,92.0,50.0,7.0,0,1,50.0,1
1.5,94.7,45.0,6.0,0,1,40.0,0
1.5,100.0,45.0,7.0,1,1,40.0,0
1.5,100.0,60.0,8.0,0,1,60.0,1
1.5,97.3,45.0,8.0,1,1,40.0,0
12.0,92.0,60.0,6.0,1,0,65.0,1
3.5,84.0,55.0,7.0,0,1,55.0,1
3.5,89.3,70.0,6.0,1,1,70.0,1
12.0,100.0,45.0,8.0,1,0,0.0,0
3.5,72.0,90.0,5.0,0,0,90.0,1
3.5,97.3,40.0,7.0,0,1,40.0,0
7.5,98.7,60.0,7.0,1,1,60.0,1
7.5,94.7,45.0,6.0,1,0,45.0,0
7.5,100.0,50.0,7.0,1,0,0.0,0
3.5,82.7,85.0,6.0,1,1,85.0,1
3.5,97.3,45.0,8.0,1,1,50.0,1
3.5,89.3,50.0,7.0,1,0,55.0,1
3.5,86.7,45.0,8.0,1,1,50.0,1
3.5,100.0,0.0,7.0,0,0,0.0,0
3.5,80.0,45.0,7.0,1,0,45.0,0
12.0,94.7,70.0,9.0,1,0,70.0,1
3.5,97.3,55.0,8.0,0,0,55.0,1
3.5,97.3,70.0,9.0,1,1,70.0,1
3.5,97.3,50.0,7.0,0,0,50.0,1
3.5,92.0,60.0,8.0,0,0,60.0,1
3.5,0.0,45.0,5.0,0,0,45.0,0
1.5,70.7,45.0,6.0,1,1,45.0,0
3.5,80.0,40.0,8.0,1,0,40.0,0
1.5,89.3,55.0,6.0,1,1,50.0,1
1.5,60.0,40.0,9.0,1,1,40.0,0
1.5,74.7,45.0,8.0,0,1,50.0,1
12.0,98.7,60.0,6.0,1,0,60.0,1
3.5,94.7,45.0,8.0,1,0,50.0,1
3.5,94.7,45.0,8.0,0,0,55.0,1
3.5,97.3,50.0,7.0,0,1,55.0,1
7.5,93.3,90.0,7.0,0,0,95.0,1
7.5,92.0,60.0,7.0,0,0,60.0,1
7.5,92.0,70.0,6.0,1,1,70.0,1
3.5,88.0,65.0,8.0,1,1,75.0,1
3.5,85.3,55.0,7.0,1,1,55.0,1
7.5,100.0,75.0,6.0,0,0,75.0,1
3.5,84.0,60.0,8.0,0,0,65.0,1
12.0,92.0,90.0,5.0,0,0,90.0,1
7.5,89.3,65.0,8.0,1,1,70.0,1
1.5,94.7,60.0,8.0,0,1,55.0,1
3.5,100.0,45.0,7.0,1,0,0.0,0
3.5,86.7,40.0,8.0,0,0,40.0,0
12.0,100.0,65.0,7.0,0,0,70.0,1
1.5,93.3,75.0,8.0,0,1,80.0,1
3.5,81.3,50.0,6.0,0,0,55.0,1
1.5,100.0,55.0,5.0,0,1,50.0,1
7.5,100.0,60.0,7.0,0,0,70.0,1
12.0,100.0,85.0,6.0,1,0,90.0,1
3.5,73.3,70.0,8.0,1,1,65.0,1
3.5,89.3,60.0,8.0,1,0,60.0,1
1.5,100.0,90.0,9.0,1,1,90.0,1
1.5,49.3,45.0,7.0,0,1,40.0,0
3.5,100.0,60.0,9.0,1,1,60.0,1
3.5,76.0,50.0,8.0,1,0,50.0,1
3.5,100.0,45.0,6.0,1,0,0.0,0
3.5,73.3,60.0,8.0,0,0,65.0,1
3.5,96.0,55.0,9.0,0,1,55.0,1
3.5,70.7,50.0,6.0,0,0,55.0,1
7.5,81.3,65.0,5.0,0,0,65.0,1
7.5,46.7,55.0,5.0,0,0,55.0,1
3.5,100.0,40.0,7.0,1,0,0.0,0
7.5,88.0,50.0,7.0,1,0,45.0,0
7.5,100.0,55.0,7.0,1,0,50.0,1
3.5,97.3,55.0,8.0,0,0,55.0,1
3.5,69.3,65.0,6.0,0,0,65.0,1
3.5,84.0,45.0,6.0,0,0,45.0,0
7.5,96.0,55.0,7.0,1,0,55.0,1
7.5,98.7,70.0,8.0,0,0,75.0,1
7.5,100.0,75.0,7.0,0,0,75.0,1
7.5,96.0,60.0,7.0,1,1,55.0,1
1.5,96.0,75.0,7.0,1,1,80.0,1
1.5,89.3,50.0,8.0,0,1,50.0,1
7.5,90.7,45.0,8.0,1,0,45.0,0
7.5,94.7,70.0,7.0,0,0,70.0,1
12.0,97.3,40.0,9.0,1,1,40.0,0
7.5,90.7,70.0,8.0,0,0,70.0,1
3.5,100.0,0.0,7.0,1,0,0.0,0
3.5,100.0,40.0,7.0,1,0,0.0,0
12.0,100.0,45.0,8.0,1,0,0.0,0
7.5,78.7,75.0,8.0,0,0,75.0,1
7.5,84.0,65.0,8.0,0,0,65.0,1
3.5,100.0,40.0,7.0,0,0,0.0,0
12.0,90.7,75.0,7.0,0,0,85.0,1
3.5,94.7,50.0,7.0,0,0,50.0,1
7.5,94.7,60.0,7.0,1,0,55.0,1
3.5,100.0,50.0,7.0,1,1,0.0,0
3.5,85.3,75.0,7.0,1,1,75.0,1
3.5,100.0,40.0,7.0,0,0,0.0,0
7.5,94.7,50.0,7.0,0,0,50.0,1
7.5,90.7,65.0,8.0,0,0,70.0,1
7.5,88.0,75.0,7.0,0,1,80.0,1
7.5,100.0,50.0,8.0,0,1,45.0,0
7.5,100.0,75.0,8.0,1,0,75.0,1
1.5,86.7,65.0,9.0,0,1,65.0,1
3.5,89.3,35.0,8.0,0,1,40.0,0
3.5,97.3,65.0,9.0,0,1,65.0,1
1.5,90.7,35.0,7.0,0,1,40.0,0
1.5,94.7,40.0,8.0,0,1,40.0,0
3.5,94.7,55.0,9.0,1,1,55.0,1
3.5,100.0,45.0,7.0,0,0,45.0,0
3.5,94.7,65.0,7.0,1,0,65.0,1
3.5,97.3,60.0,6.0,0,0,55.0,1
1.5,94.7,50.0,7.0,0,1,50.0,1
7.5,100.0,80.0,7.0,0,0,80.0,1
3.5,100.0,65.0,7.0,0,0,65.0,1
3.5,97.3,60.0,8.0,1,1,60.0,1
3.5,100.0,55.0,7.0,0,0,50.0,1
3.5,100.0,75.0,7.0,1,0,75.0,1
3.5,100.0,55.0,6.0,0,0,60.0,1
3.5,94.7,50.0,7.0,0,1,50.0,1
7.5,100.0,65.0,6.0,0,1,65.0,1
1.5,100.0,30.0,6.0,0,0,0.0,0
1.5,100.0,50.0,6.0,0,0,50.0,1
3.5,86.7,60.0,6.0,0,0,55.0,1
3.5,94.7,35.0,6.0,1,0,45.0,0
1.5,96.0,60.0,7.0,1,1,60.0,1
7.5,89.3,55.0,8.0,1,0,55.0,1
1.5,81.3,25.0,9.0,1,0,25.0,0
7.5,100.0,90.0,8.0,0,0,95.0,1
7.5,97.3,40.0,7.0,0,0,50.0,1
7.5,94.7,70.0,8.0,0,0,75.0,1
3.5,94.7,45.0,8.0,1,0,50.0,1
3.5,100.0,75.0,5.0,0,0,75.0,1
3.5,77.3,50.0,9.0,1,0,50.0,1
3.5,94.7,70.0,6.0,1,1,70.0,1
1.5,93.3,30.0,8.0,1,1,35.0,0
3.5,97.3,55.0,8.0,1,1,50.0,1
1.5,100.0,25.0,7.0,0,1,0.0,0
1.5,81.3,25.0,8.0,0,1,25.0,0
7.5,97.3,45.0,7.0,0,0,50.0,1
1.5,90.7,25.0,8.0,1,0,30.0,0
7.5,100.0,25.0,8.0,1,0,0.0,0
3.5,100.0,45.0,7.0,0,0,40.0,0
3.5,100.0,25.0,5.0,1,0,0.0,0
3.5,85.3,45.0,9.0,0,1,45.0,0
1.5,96.0,80.0,8.0,0,1,80.0,1
1.5,96.0,40.0,9.0,0,1,35.0,0
1.5,100.0,60.0,8.0,0,1,50.0,1
1.5,93.3,45.0,6.0,0,1,45.0,0
